class_name,day,subject,teacher,room,number,time
0б класс,четверг,Светлана - воспитатель,None,106,7,14:15-14:35
0б класс,четверг,Светлана - воспитатель,None,106,8,14:40-15:20
0б класс,четверг,арт. мастерская   Светлана - воспитатель,None,106,9,15:30-16:10
0б класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0б класс,пятница,ИЗО,Наталья,113,1,09:00-09:45
0б класс,пятница,математика,Светлана,106,2,09:55-10:35
0б класс,пятница,тренинг,Людмила,106,3,10:50-11:30
0б класс,пятница,чтение,Юля,106,4,11:50-12:30
0б класс,пятница,обед,None,,5,12:40-13:20
0б класс,пятница,прогулка (Светлана),None,,6,13:30-14:10
0б класс,пятница,Светлана - воспитатель,None,106,7,14:15-14:35
0б класс,пятница,Светлана - воспитатель,None,106,8,14:40-15:20
0б класс,пятница,Светлана - воспитатель,None,106,9,15:30-16:10
0б класс,пятница,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0б класс,пятница,nan,None,,11,17:10-17:50
1а класс,понедельник,чтение,Алиса,111,1,09:00-09:45
1а класс,понедельник,русский язык,Алиса,111,2,09:55-10:35
1а класс,понедельник,математика,Алиса,111,3,10:50-11:30
1а класс,понедельник,сербский язык,Ольга,111,4,11:50-12:30
1а класс,понедельник,обед,None,,5,12:40-13:20
1а класс,понедельник,англ. яз,Алиса,111,6,13:30-14:10
1а класс,понедельник,сборы на физкультуру,Алиса,111,7,14:15-14:35
1а класс,понедельник,физкультура,Марина,,8,14:40-15:20
1а класс,понедельник,музансамбль шахматы Юля - воспитатель,None,111,9,15:30-16:10
1а класс,понедельник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1а класс,вторник,чтение,Алиса,111,1,09:00-09:45
1а класс,вторник,творчество,Маша,-21,2,09:55-10:35
1а класс,вторник,ИЗО,Наталья,113,3,10:50-11:30
1а класс,вторник,русский язык,Алиса,111,4,11:50-12:30
1а класс,вторник,обед,None,,5,12:40-13:20
1а класс,вторник,прогулка (Алиса),None,,6,13:30-14:10
1а класс,вторник,англ яз,Алиса,111,7,14:15-14:35
1а класс,вторник,тренинг,Людмила,111,8,14:40-15:20
1а класс,вторник,"ТЕАТР Французский, робототехника,  Алиса - воспитатель",None,111,9,15:30-16:10
1а класс,вторник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1а класс,среда,чтение,Алиса,111,1,09:00-09:45
1а класс,среда,русский язык,Алиса,111,2,09:55-10:35
1а класс,среда,математика,Алиса,111,3,10:50-11:30
1а класс,среда,сербский язык,Ольга,111,4,11:50-12:30
1а класс,среда,обед,None,,5,12:40-13:20
1а класс,среда,прогулка (Алиса),None,,6,13:30-14:10
1а класс,среда,английский язык,Алиса,111,7,14:15-14:35
1а класс,среда,арт. мастерская  Алиса - воспитатель,None,111,8,14:40-15:20
1а класс,среда,Луки пои Алиса - воспитатель,None,111,9,15:30-16:10
1а класс,среда,ОФП Уходят домой  Юля Д. в 01,None,,10,16:12-17:00
1а класс,четверг,русский язык,Алиса,111,1,09:00-09:45
1а класс,четверг,ИЗО,Наталья,113,2,09:55-10:35
1а класс,четверг,математика,Алиса,111,3,10:50-11:30
1а класс,четверг,каллиграфия,Мария Владимировна,111,4,11:50-12:30
1а класс,четверг,обед,None,,5,12:40-13:20
1а класс,четверг,science - окр мир,Алиса,111,6,13:30-14:10
1а класс,четверг,сборы на физкультуру,Алиса,111,7,14:15-14:35
1а класс,четверг,физкультура,Марина,,8,14:40-15:20
1а класс,четверг,"Французский, робототехника,  Алиса - воспитатель",None,111,9,15:30-16:10
1а класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1а класс,пятница,русский язык,Алиса,111,1,09:00-09:45
1а класс,пятница,музыка,Мария,-21,2,09:55-10:35
1а класс,пятница,математика,Алиса,111,3,10:50-11:30
1а класс,пятница,окр мир,Алиса,111,4,11:50-12:30
1а класс,пятница,обед,None,,5,12:40-13:20
1а класс,пятница,прогулка (Алиса),None,,6,13:30-14:10
1а класс,пятница,окр мир,Алиса,111,7,14:15-14:35
1а класс,пятница,Алиса - воспитатель,None,111,8,14:40-15:20
1а класс,пятница,Алиса - воспитатель,None,111,9,15:30-16:10
1а класс,пятница,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1а класс,пятница,16,None,,11,17:10-17:50
1с класс,понедельник,русский,Александра,108,1,09:00-09:45
1с класс,понедельник,ИЗО,Наталья,113,2,09:55-10:35
1с класс,понедельник,окр мир,Александра,108,3,10:50-11:30
1с класс,понедельник,английский язык,Алиса,108,4,11:50-12:30
1с класс,понедельник,обед,None,,5,12:40-13:20
1с класс,понедельник,сербский язык,Ольга,108,6,13:30-14:10
1с класс,понедельник,сборы на физкультуру,Дарья,108,7,14:15-14:35
1с класс,понедельник,физкультура,Марина,,8,14:40-15:20
1с класс,понедельник,шахматы / Дарья - воспитатель,None,108,9,15:30-16:10
1с класс,понедельник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1с класс,вторник,русский,Александра,108,1,09:00-09:45
1с класс,вторник,математика,Александра,108,2,09:55-10:35
1с класс,вторник,каллиграфия,Мария Владимировна,108,3,10:50-11:30
1с класс,вторник,тренинг,Людмила,108,4,11:50-12:30
1с класс,вторник,обед,None,,5,12:40-13:20
1с класс,вторник,прогулка (Дарья),None,,6,13:30-14:10
1с класс,вторник,чтение,Александра,108,7,14:15-14:35
1с класс,вторник,Арт. мастерская  Дарья - воспитатель,None,108,8,14:40-15:20
1с класс,вторник,"Французский, робототехника,  Дарья - воспитатель",None,108,9,15:30-16:10
1с класс,вторник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1с класс,среда,окр мир,Александра,108,1,09:00-09:45
1с класс,среда,математика,Александра,108,2,09:55-10:35
1с класс,среда,чтение,Александра,108,3,10:50-11:30
1с класс,среда,английский язык,Алиса,108,4,11:50-12:30
1с класс,среда,обед,None,,5,12:40-13:20
1с класс,среда,прогулка (Дарья),None,,6,13:30-14:10
1с класс,среда,сербский язык,Ольга,108,7,14:15-14:35
1с класс,среда,ТЕАТР,Дарья,108,8,14:40-15:20
1с класс,среда,Луки пои Маткружок Дарья - воспитатель,None,108,9,15:30-16:10
1с класс,среда,ОФП Уходят домой  Юля Д. в 01,None,,10,16:12-17:00
1с класс,четверг,русский,Александра,108,1,09:00-09:45
1с класс,четверг,математика,Александра,108,2,09:55-10:35
1с класс,четверг,чтение,Александра,108,3,10:50-11:30
1с класс,четверг,английский язык,Алиса,108,4,11:50-12:30
1с класс,четверг,обед,None,,5,12:40-13:20
1с класс,четверг,окр мир,Александра,108,6,13:30-14:10
1с класс,четверг,сборы на физкультуру,Дарья,108,7,14:15-14:35
1с класс,четверг,физкультура,Марина,,8,14:40-15:20
1с класс,четверг,"Французский, робототехника,  Дарья - воспитатель",None,108,9,15:30-16:10
1с класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1с класс,пятница,математика,Александра,108,1,09:00-09:45
1с класс,пятница,русский,Александра,108,2,09:55-10:35
1с класс,пятница,творчество,Маша,-21,3,10:50-11:30
1с класс,пятница,чтение,Александра,108,4,11:50-12:30
1с класс,пятница,обед,None,,5,12:40-13:20
1с класс,пятница,прогулка (Дарья),None,,6,13:30-14:10
1с класс,пятница,музыка,Мария,-21,7,14:15-14:35
1с класс,пятница,ИЗО,Наталья,113,8,14:40-15:20
1с класс,пятница,Дарья - воспитатель,None,110,9,15:30-16:10
1с класс,пятница,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1с класс,пятница,14,None,,11,17:10-17:50
1р класс,понедельник,английский язык,Митя,107,1,09:00-09:45
1р класс,понедельник,русский язык,Ника,107,2,09:55-10:35
1р класс,понедельник,математика,Ника,107,3,10:50-11:30
1р класс,понедельник,Окружающий мир,Ника,107,4,11:50-12:30
1р класс,понедельник,чтение,Ника,107,5,12:40-13:20
1р класс,понедельник,обед / прогулка,None,,6,13:30-14:10
1р класс,понедельник,-,None,,7,14:15-14:35
1р класс,понедельник,-,None,,8,14:40-15:20
1р класс,понедельник,-,None,,9,15:30-16:10
1р класс,понедельник,-,None,,10,16:12-17:00
1р класс,вторник,русский язык,Ника,107,1,09:00-09:45
1р класс,вторник,математика,Ника,107,2,09:55-10:35
1р класс,вторник,чтение,Ника,107,3,10:50-11:30
1р класс,вторник,физическая культура,Ника,107,4,11:50-12:30
1р класс,вторник,ИЗО,Ника,107,5,12:40-13:20
1р класс,вторник,обед / прогулка,None,,6,13:30-14:10
1р класс,вторник,-,None,,7,14:15-14:35
1р класс,вторник,-,None,,8,14:40-15:20
1р класс,вторник,-,None,,9,15:30-16:10
1р класс,вторник,-,None,,10,16:12-17:00
1р класс,среда,русский язык,Ника,107,1,09:00-09:45
1р класс,среда,английский язык,Митя,107,2,09:55-10:35
1р класс,среда,труд,Николай,107,3,10:50-11:30
1р класс,среда,математика,Ника,107,4,11:50-12:30
1р класс,среда,музыка,Ника,107,5,12:40-13:20
1р класс,среда,обед / прогулка,None,,6,13:30-14:10
1р класс,среда,-,None,,7,14:15-14:35
1р класс,среда,-,None,,8,14:40-15:20
1р класс,среда,-,None,,9,15:30-16:10
1р класс,среда,-,None,,10,16:12-17:00
1р класс,четверг,русский язык,Ника,107,1,09:00-09:45
1р класс,четверг,математика,Ника,107,2,09:55-10:35
1р класс,четверг,чтение,Ника,107,3,10:50-11:30
1р класс,четверг,физическая культура,Ника,107,4,11:50-12:30
1р класс,четверг,труд,Ника,107,5,12:40-13:20
1р класс,четверг,обед / прогулка,None,,6,13:30-14:10
1р класс,четверг,nan,None,,7,14:15-14:35
1р класс,четверг,-,None,,8,14:40-15:20
1р класс,четверг,-,None,,9,15:30-16:10
1р класс,четверг,-,None,,10,16:12-17:00
1р класс,пятница,русский язык,Ника,107,1,09:00-09:45
1р класс,пятница,тренинг,Людмила,107,2,09:55-10:35
1р класс,пятница,чтение,Ника,107,3,10:50-11:30
1р класс,пятница,Окружающий мир,Ника,107,4,11:50-12:30
1р класс,пятница,ИЗО,Ника,107,5,12:40-13:20
1р класс,пятница,обед / прогулка,None,,6,13:30-14:10
1р класс,пятница,-,None,,7,14:15-14:35
1р класс,пятница,-,None,,8,14:40-15:20
1р класс,пятница,-,None,,9,15:30-16:10
1р класс,пятница,-,None,,10,16:12-17:00
1р класс,пятница,nan,None,,11,17:10-17:50
1м класс,понедельник,сербский язык,Ольга,110,1,09:00-09:45
1м класс,понедельник,математика,Мария Владимировна,110,2,09:55-10:35
1м класс,понедельник,русский язык,Мария Владимировна,110,3,10:50-11:30
1м класс,понедельник,чтение,Мария Владимировна,110,4,11:50-12:30
1м класс,понедельник,обед,None,,5,12:40-13:20
1м класс,понедельник,прогулка (Мария),None,,6,13:30-14:10
1м класс,понедельник,музыка,Мария,-21,7,14:15-14:35
1м класс,понедельник,арт. мастерская  Мария - воспитатель,None, 110,8,14:40-15:20
1м класс,понедельник,шахматы арт. мастерская   Мария - воспитатель,None, 110,9,15:30-16:10
1м класс,понедельник,Уходят домой Юля Д. в 01,None,,10,16:12-17:00
1м класс,вторник,окр. мир,Мария Владимировна,110,1,09:00-09:45
1м класс,вторник,математика,Мария Владимировна,110,2,09:55-10:35
1м класс,вторник,английский,Аня,110,3,10:50-11:30
1м класс,вторник,русский язык,Мария Владимировна,110,4,11:50-12:30
1м класс,вторник,обед,None,,5,12:40-13:20
1м класс,вторник,прогулка (Мария),None,,6,13:30-14:10
1м класс,вторник,каллиграфия,Мария Владимировна,110,7,14:15-14:35
1м класс,вторник,Алиса - воспитатель,None,110,8,14:40-15:20
1м класс,вторник,"Французский робототехника,  Алиса - воспитатель",None,110,9,15:30-16:10
1м класс,вторник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1м класс,среда,чтение,Мария Владимировна,110,1,09:00-09:45
1м класс,среда,сербский язык,Ольга,110,2,09:55-10:35
1м класс,среда,английский,Аня,110,3,10:50-11:30
1м класс,среда,математика,Мария Владимировна,110,4,11:50-12:30
1м класс,среда,обед,None,,5,12:40-13:20
1м класс,среда,творчество,Маша,-21,6,13:30-14:10
1м класс,среда,сборы на физкультуру,Дарья,110,7,14:15-14:35
1м класс,среда,физкультура,Марина,,8,14:40-15:20
1м класс,среда,Луки пои Дарья - воспитатель,None,110,9,15:30-16:10
1м класс,среда,ОФП Уходят домой  Юля Д. в 01,None,,10,16:12-17:00
1м класс,четверг,окр. мир,Мария Владимировна,110,1,09:00-09:45
1м класс,четверг,русский язык,Мария Владимировна,110,2,09:55-10:35
1м класс,четверг,английский,Аня,110,3,10:50-11:30
1м класс,четверг,ИЗО,Наталья,113,4,11:50-12:30
1м класс,четверг,обед,None,,5,12:40-13:20
1м класс,четверг,прогулка (Мария),None,,6,13:30-14:10
1м класс,четверг,чтение,Мария Владимировна,110,7,14:15-14:35
1м класс,четверг,ТЕАТР Мария - воспитатель,None,110,8,14:40-15:20
1м класс,четверг,тренинг,Людмила,110,9,15:30-16:10
1м класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1м класс,пятница,математика,Мария Владимировна,110,1,09:00-09:45
1м класс,пятница,русский язык,Мария Владимировна,110,2,09:55-10:35
1м класс,пятница,чтение,Мария Владимировна,110,3,10:50-11:30
1м класс,пятница,ИЗО,Наталья,113,4,11:50-12:30
1м класс,пятница,обед,None,,5,12:40-13:20
1м класс,пятница,окр. мир,Мария Владимировна,110,6,13:30-14:10
1м класс,пятница,сборы на физкультуру,Мария,110,7,14:15-14:35
1м класс,пятница,физкультура,Марина,,8,14:40-15:20
1м класс,пятница,mr. Strok Алиса - воспитатель,None,111,9,15:30-16:10
1м класс,пятница,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
1м класс,пятница,16,None,,11,17:10-17:50
2 класс,понедельник,математика,Анастасия,112,1,09:00-09:45
2 класс,понедельник,музыка,Мария,-21,2,09:55-10:35
2 класс,понедельник,русский,Анастасия,112,3,10:50-11:30
2 класс,понедельник,ИЗО,Наталья,113,4,11:50-12:30
2 класс,понедельник,лит. чтение,Аня,112,5,12:40-13:20
2 класс,понедельник,обед,None,,6,13:30-14:10
2 класс,понедельник,прогулка (Аня),None,,7,14:15-14:35
2 класс,понедельник,арт. мастерская   Аня - воспитатель,None,110,8,14:40-15:20
2 класс,понедельник,арт. мастерская пои   Аня - воспитатель,None,110,9,15:30-16:10
2 класс,понедельник,ОФП Уходят домой Юля Д. в 01,None,,10,16:12-17:00
2 класс,вторник,русский,Анастасия,112,1,09:00-09:45
2 класс,вторник,математика,Анастасия,112,2,09:55-10:35
2 класс,вторник,сербский язык,Анастасия,112,3,10:50-11:30
2 класс,вторник,окр.мир,Анастасия,112,4,11:50-12:30
2 класс,вторник,лит.чтение,Анастасия,112,5,12:40-13:20
2 класс,вторник,обед,None,,6,13:30-14:10
2 класс,вторник,прогулка (Аня),None,,7,14:15-14:35
2 класс,вторник,каллиграфия,Анастасия,112,8,14:40-15:20
2 класс,вторник,"Шахматы, робототехника,  Аня - воспитатель",None,112,9,15:30-16:10
2 класс,вторник,Шахматы Уходят домой Юля Д. в 01,None,,10,16:12-17:00
2 класс,среда,русский,Анастасия,112,1,09:00-09:45
2 класс,среда,математика,Анастасия,112,2,09:55-10:35
2 класс,среда,английский,Анастасия,112,3,10:50-11:30
2 класс,среда,творчество,Маша,-21,4,11:50-12:30
2 класс,среда,лит. чтение,Аня,113,5,12:40-13:20
2 класс,среда,обед,None,,6,13:30-14:10
2 класс,среда,Луки прогулка (Аня),None,,7,14:15-14:35
2 класс,среда,физкультура,Марина,,8,14:40-15:20
2 класс,среда,mr. Strok Аня - воспитатель,None,112,9,15:30-16:10
2 класс,среда,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
2 класс,четверг,русский,Анастасия,112,1,09:00-09:45
2 класс,четверг,сербский язык,Анастасия,112,2,09:55-10:35
2 класс,четверг,математика,Анастасия,112,3,10:50-11:30
2 класс,четверг,творчество,Маша,-21,4,11:50-12:30
2 класс,четверг,английский,Анастасия,112,5,12:40-13:20
2 класс,четверг,обед,None,,6,13:30-14:10
2 класс,четверг,прогулка (Аня),None,,7,14:15-14:35
