class_name,day,subject,teacher,room,number,time
1с класс,четверг,обед, ,,5,12:40-13:20
1с класс,пятница,математика,Александра,108,1,09:00-09:45
1с класс,пятница,русский,Александра,108,2,09:55-10:35
1с класс,пятница,творчество,Маша,-21,3,10:50-11:30
1с класс,пятница,чтение,Александра,108,4,11:50-12:30
1с класс,пятница,обед, ,,5,12:40-13:20
1р класс,понедельник,английский язык,Митя,113,1,09:00-09:45
1р класс,понедельник,русский язык,Ника,113,2,09:55-10:35
1р класс,понедельник,математика,Ника,113,3,10:50-11:30
1р класс,понедельник,Окружающий мир,Ника,113,4,11:50-12:30
1р класс,понедельник,чтение,Ника,113,5,12:40-13:20
1р класс,понедельник,обед / прогулка, ,,6,13:30-14:10
1р класс,вторник,русский язык,Ника,113,1,09:00-09:45
1р класс,вторник,математика,Ника,113,2,09:55-10:35
1р класс,вторник,чтение,Ника,113,3,10:50-11:30
1р класс,вторник,физическая культура,Ника,113,4,11:50-12:30
1р класс,вторник,ИЗО,Ника,113,5,12:40-13:20
1р класс,вторник,обед / прогулка, ,,6,13:30-14:10
1р класс,среда,русский язык,Ника,113,1,09:00-09:45
1р класс,среда,английский язык,Митя,113,2,09:55-10:35
1р класс,среда,труд,Николай,113,3,10:50-11:30
1р класс,среда,математика,Ника,113,4,11:50-12:30
1р класс,среда,музыка,Ника,113,5,12:40-13:20
1р класс,среда,обед / прогулка, ,,6,13:30-14:10
1р класс,четверг,русский язык,Ника,113,1,09:00-09:45
1р класс,четверг,математика,Ника,113,2,09:55-10:35
1р класс,четверг,чтение,Ника,113,3,10:50-11:30
1р класс,четверг,физическая культура,Ника,113,4,11:50-12:30
1р класс,четверг,труд,Ника,113,5,12:40-13:20
1р класс,четверг,обед / прогулка, ,,6,13:30-14:10
1р класс,пятница,русский язык,Ника,113,1,09:00-09:45
1р класс,пятница,тренинг,Людмила,113,2,09:55-10:35
1р класс,пятница,чтение,Ника,113,3,10:50-11:30
1р класс,пятница,Окружающий мир,Ника,113,4,11:50-12:30
1р класс,пятница,ИЗО,Ника,113,5,12:40-13:20
1р класс,пятница,обед / прогулка, ,,6,13:30-14:10
1м класс,понедельник,сербский язык,Ольга,110,1,09:00-09:45
1м класс,понедельник,математика,Мария Владимировна,110,2,09:55-10:35
1м класс,понедельник,русский язык,Мария Владимировна,110,3,10:50-11:30
1м класс,понедельник,чтение,Мария Владимировна,110,4,11:50-12:30
1м класс,понедельник,обед, ,,5,12:40-13:20
1м класс,вторник,окр. мир,Мария Владимировна,110,1,09:00-09:45
1м класс,вторник,математика,Мария Владимировна,110,2,09:55-10:35
1м класс,вторник,английский,Аня,110,3,10:50-11:30
1м класс,вторник,русский язык,Мария Владимировна,110,4,11:50-12:30
1м класс,вторник,обед, ,,5,12:40-13:20
1м класс,среда,чтение,Мария Владимировна,110,1,09:00-09:45
1м класс,среда,математика,Мария Владимировна,110,2,09:55-10:35
1м класс,среда,английский,Аня,110,3,10:50-11:30
1м класс,среда,сербский язык,Ольга,110,4,11:50-12:30
1м класс,среда,обед, ,,5,12:40-13:20
1м класс,четверг,окр. мир,Мария Владимировна,110,1,09:00-09:45
1м класс,четверг,русский язык,Мария Владимировна,110,2,09:55-10:35
1м класс,четверг,английский,Аня,110,3,10:50-11:30
1м класс,четверг,ИЗО,Наталья,110,4,11:50-12:30
1м класс,четверг,обед, ,,5,12:40-13:20
1м класс,пятница,математика,Мария Владимировна,110,1,09:00-09:45
1м класс,пятница,русский язык,Мария Владимировна,110,2,09:55-10:35
1м класс,пятница,чтение,Мария Владимировна,110,3,10:50-11:30
1м класс,пятница,ИЗО,Наталья,110,4,11:50-12:30
1м класс,пятница,обед, ,,5,12:40-13:20
2 класс,понедельник,математика,Анастасия,112,1,09:00-09:45
2 класс,понедельник,музыка,Мария,-21,2,09:55-10:35
2 класс,понедельник,русский,Анастасия,112,3,10:50-11:30
2 класс,понедельник,ИЗО,Наталья,112,4,11:50-12:30
2 класс,понедельник,лит. чтение,Аня,112,5,12:40-13:20
2 класс,понедельник,обед, ,,6,13:30-14:10
2 класс,вторник,русский,Анастасия,112,1,09:00-09:45
2 класс,вторник,математика,Анастасия,112,2,09:55-10:35
2 класс,вторник,сербский язык,Анастасия,112,3,10:50-11:30
2 класс,вторник,окр.мир,Анастасия,112,4,11:50-12:30
2 класс,вторник,лит.чтение,Анастасия,112,5,12:40-13:20
2 класс,вторник,обед, ,,6,13:30-14:10
2 класс,среда,русский,Анастасия,112,1,09:00-09:45
2 класс,среда,математика,Анастасия,112,2,09:55-10:35
2 класс,среда,творчество,Маша,-21,3,10:50-11:30
2 класс,среда,английский,Анастасия,112,4,11:50-12:30
2 класс,среда,лит. чтение,Аня,112,5,12:40-13:20
2 класс,среда,обед, ,,6,13:30-14:10
2 класс,четверг,русский,Анастасия,112,1,09:00-09:45
2 класс,четверг,сербский язык,Анастасия,112,2,09:55-10:35
2 класс,четверг,математика,Анастасия,112,3,10:50-11:30
2 класс,четверг,творчество,Маша,-21,4,11:50-12:30
2 класс,четверг,английский,Анастасия,112,5,12:40-13:20
2 класс,четверг,обед, ,,6,13:30-14:10
2 класс,пятница,русский,Анастасия,112,1,09:00-09:45
2 класс,пятница,ИЗО,Наталья,112,2,09:55-10:35
2 класс,пятница,лит. чтение,Аня,112,3,10:50-11:30
2 класс,пятница,окр.мир,Анастасия,112,4,11:50-12:30
2 класс,пятница,английский,Анастасия,112,5,12:40-13:20
2 класс,пятница,обед (Аня), ,,6,13:30-14:10
3а класс,понедельник,русский язык,Елизавета,215,1,09:00-09:45
3а класс,понедельник,сербский язык,Анастасия,112,2,09:55-10:35
3а класс,понедельник,математика,Лариса,-11,3,10:50-11:30
3а класс,понедельник,английский,Инна,215,4,11:50-12:30
3а класс,понедельник,музыка,Мария,-21,5,12:40-13:20
3а класс,понедельник,обед (Наталья), ,,6,13:30-14:10
3а класс,вторник,русский язык,Елизавета,215,1,09:00-09:45
3а класс,вторник,ИЗО,Наталья,215,2,09:55-10:35
3а класс,вторник,математика,Лариса,01,3,10:50-11:30
